gene	group
701	gbr.2.129	tan
702	gbr.287.17	green
703	gbr.126.22	brown
704	gbr.4.37	yellow
705	gbr.9.83	pink
706	gbr.64.57	green
707	gbr.37.86	grey
708	gbr.367.3	blue
709	gbr.1.212	grey
710	gbr.148.24_gbr.148.25	grey
711	gbr.254.3	green
712	gbr.73.46	cyan
713	gbr.126.42	grey
714	gbr.181.19	grey
715	gbr.23.49	pink
716	gbr.325.18	tan
717	gbr.9.8	brown
718	gbr.127.18	red
719	gbr.445.5	red
720	gbr.196.10	pink
721	gbr.154.12	black
722	gbr.45.19	grey
723	gbr.436.9	blue
724	gbr.218.31	red
725	gbr.3.45	grey
726	gbr.157.46	pink
727	gbr.234.22	green
728	gbr.66.5	yellow
729	gbr.282.29	yellow
730	gbr.123.13	red
731	gbr.14.74	grey
732	gbr.210.27	yellow
733	gbr.22.50	grey
734	gbr.74.22	pink
735	gbr.160.11	grey
736	gbr.217.17	grey
737	gbr.233.7	grey
738	gbr.112.15	blue
739	gbr.46.48	grey
740	gbr.124.81	greenyellow
741	gbr.38.50	grey
742	gbr.441.9	red
743	gbr.56.54	grey
744	gbr.290.11	red
745	gbr.448.6_gbr.448.7	yellow
746	gbr.342.25	grey
747	gbr.3.19	red
748	gbr.194.14	black
749	gbr.6.102	blue
750	gbr.90.1_gbr.90.2	yellow
751	gbr.23.71	pink
752	gbr.138.10	grey
753	gbr.140.57	yellow
754	gbr.10.101	grey
755	gbr.40.38	yellow
756	gbr.264.41	yellow
757	gbr.264.3	grey
758	gbr.384.26	red
759	gbr.6.57	turquoise
760	gbr.61.21_gbr.61.22	magenta
761	gbr.55.85	grey
762	gbr.148.20	green
763	gbr.155.18	yellow
764	gbr.167.37	grey
765	gbr.224.15	red
766	gbr.119.49	pink
767	gbr.57.25	yellow
768	gbr.289.37	yellow
769	gbr.189.13	yellow
770	gbr.134.11	grey
771	gbr.90.11	blue
772	gbr.105.17	grey
773	gbr.130.49_gbr.130.48	red
774	gbr.49.3_gbr.49.4_gbr.49.5	black
775	gbr.128.35	grey
776	gbr.101.31	yellow
777	gbr.294.20	red
778	gbr.274.23	turquoise
779	gbr.31.8	yellow
780	gbr.47.34	yellow
781	gbr.207.28	blue
782	gbr.25.169	yellow
783	gbr.493.6	brown
784	gbr.92.25_gbr.92.26	grey
785	gbr.51.23	grey
786	gbr.35.7	grey
787	gbr.1.37	yellow
788	gbr.3.43	grey
789	gbr.60.98	yellow
790	gbr.33.48	blue
791	gbr.104.69	grey
792	gbr.406.9	grey
793	gbr.62.14	red
794	gbr.105.23	blue
795	gbr.81.110	grey
796	gbr.51.14	yellow
797	gbr.207.1	pink
798	gbr.75.133	grey
799	gbr.177.20	grey
800	gbr.27.36	blue
801	gbr.41.30	grey
802	gbr.58.98	grey
803	gbr.139.45	yellow
804	gbr.221.45	blue
805	gbr.11.216	green
806	gbr.37.10	pink
807	gbr.60.60	red
808	gbr.129.30_gbr.129.31	grey
809	gbr.120.4	blue
810	gbr.125.24	blue
811	gbr.76.42_gbr.76.43	grey
812	gbr.291.1	grey
813	gbr.283.2	magenta
814	gbr.48.11	pink
815	gbr.10.34	yellow
816	gbr.81.7	grey
817	gbr.93.52	yellow
818	gbr.132.6	grey
819	gbr.3.10	grey
820	gbr.84.45	yellow
821	gbr.84.27	grey
822	gbr.57.20	grey
823	gbr.25.154	grey
824	gbr.3.57	grey
825	gbr.221.26	pink
826	gbr.13.64	grey
827	gbr.130.32	cyan
828	gbr.2.157	grey
829	gbr.90.58_gbr.90.59	grey
830	gbr.197.1	green
831	gbr.59.10_gbr.59.11	red
