Sample:	Paf	Pam	Paw
gbr.55.67.t1	12.54593726	15.77071686	8.480347114
gbr.111.57.t1	9.908725148	9.759786323	7.046181257
gbr.414.8.t1	3.77990842	2.931732506	2.176751868
gbr.151.61.t1	23.79993076	26.72875826	19.20688841
gbr.98.2.t1	0.521053746	0.464948243	0.79478902
gbr.254.20.t1	4.136109626	2.839296179	2.268212931
gbr.322.10.t1	10.79966618	11.44246708	8.236601392
gbr.37.122.t1	120.8857521	128.1802535	103.7843918
gbr.71.15.t1	644.1465924	667.4605462	417.2472879
gbr.75.33.t1	68.11709902	72.90979879	76.20516539
gbr.84.14.t1	38.10868449	35.97451411	30.19712941
gbr.405.4.t1	22.55786632	24.23992167	14.99055037
gbr.151.54.t1	55.42089124	70.84944605	29.62277088
gbr.203.25.t1	16.55470128	19.54242967	14.03091239
gbr.39.22.t1	5.382916892	4.986841613	4.047433211
gbr.42.2.t1	14.95078176	15.73812561	11.59349294
gbr.75.41.t1	5.345151992	3.661389857	2.727989833
gbr.113.11.t1	131.5568434	139.9661254	111.9265656
gbr.420.17.t1	187.3038912	202.6940626	93.39602586
gbr.38.52.t1_gbr.38.51.t1	95.76809443	123.1564138	55.6027521
gbr.59.5.t1	139.6918766	144.2214526	155.1064798
gbr.89.34.t1	65.12563508	74.49623108	53.91429201
gbr.696.5.t1	37.99585113	51.74155208	23.2053804
gbr.15.3.t1	20.23269891	19.96383749	12.35322242
gbr.356.15.t1	119.5252389	128.248503	106.7426696
gbr.40.121.t1	25.83470547	25.25891015	22.25990246
gbr.5.112.t1	15.75374499	21.59968037	11.41351825
gbr.232.33.t1	1.343578145	2.11877521	2.069571733
gbr.385.8.t1	70.76756308	76.54182509	73.48010664
gbr.151.85.t1	6.974020928	5.306338262	5.284103413
gbr.71.21.t1	14.88576354	15.30646722	14.32616172
gbr.85.11.t1_gbr.85.12.t1	43.24630675	46.15189711	42.12335612
gbr.139.37.t1	23.88312667	21.37193511	10.90066093
gbr.1.11.t1	55.0445763	63.47677	46.14106152
gbr.123.2.t1	45.44058722	50.47516846	27.22678638
gbr.33.81.t1	381.0996727	334.2339291	152.4815412
gbr.98.63.t1	23.93308228	20.17292526	15.84132106
gbr.108.30.t1	23.39296299	31.78419565	23.1040694
gbr.27.54.t1	25.4009165	22.36262958	23.44747114
gbr.49.42.t1	8.724046025	9.912656478	7.126689162
gbr.434.10.t1	67.89454314	52.36368943	48.6435096
gbr.323.15.t1	51.86996396	49.35153704	52.86662914
gbr.5.92.t1	57.52372466	63.24212182	49.87397499
gbr.8.46.t1	133.6764441	126.552308	104.2928189
